,uri,lat,lon,code
409,BOLD:AAA5341,11.0162,-85.359,ACGAZ
410,BOLD:AAI7302,11.0175,-85.4741,ASMGJ
411,BOLD:AAA7014,11.0178,-85.598,ASHYC
412,BOLD:ABU7426,11.0182,-85.4502,ACGAZ
413,BOLD:AAA3229,11.01823,-85.45024,ACGBA
414,BOLD:ABX4888,11.01825,-85.37199,ACGBA
415,BOLD:ABX5680,11.0183,-85.372,ACGAZ
416,BOLD:AAM1062,11.01926,-85.40997,ACGBA
417,BOLD:AAI7792,11.0193,-85.41,ACGAZ
418,BOLD:ADJ6568,11.0198,-85.4134,ACGBA
419,BOLD:ACF3757,11.01983,-85.41342,ACGBA
420,BOLD:ABY8051,11.021,-85.5253,ACGBA
421,BOLD:AAB3964,11.0236,-85.4914,ASMGJ
422,BOLD:ABA9252,11.02367,-85.41884,ACGBA
423,BOLD:ABX6008,11.0237,-85.4188,ACGAZ
424,BOLD:ABX6007,11.0268,-85.4955,ACGAZ
425,BOLD:AAA6775,11.02681,-85.49547,ACGBA
426,BOLD:AAA7143,11.02738,-85.33679,ACGBA
427,BOLD:ABY6625,11.0274,-85.3368,ASMGJ
428,BOLD:ABX5732,11.0284,-85.4895,ASMGJ
429,BOLD:AAA7143,11.0285,-85.5232,ASMG
430,BOLD:AAA8037,11.02865,-85.48669,ACGBA
431,BOLD:ACF0511,11.0287,-85.4867,ASMGJ
432,BOLD:AAA2143,11.0299,-85.4536,ASMG
433,BOLD:ABX5732,11.03,-85.527,ASMGJ
434,BOLD:ABX4834,11.0303,-85.5478,ACGAZ
435,BOLD:ACF3142,11.0317,-85.5262,ASMG
436,BOLD:AAD5984,11.0318,-85.5216,ASMG
437,BOLD:AAA3229,11.03226,-85.52776,ACGBA
438,BOLD:AAA3229,11.0323,-85.5278,ACGAZ
439,BOLD:AAA2143,11.03239,-85.57545,ACGBA
440,BOLD:AAA2143,11.0324,-85.5754,ASMG
441,BOLD:AAA7376,11.033,-85.429,ASMGJ
442,BOLD:AAB7638,11.0331,-85.4288,ASMG
443,BOLD:ABX6007,11.0338,-85.4771,ACGAZ
444,BOLD:AAA7259,11.0353,-85.4453,ASMG
445,BOLD:AAB8584,11.04118,-85.4417,ACGBA
446,BOLD:AAB6733,11.0412,-85.4417,ACGBA
447,BOLD:AAB9928,11.04249,-85.40339,ACGBA
448,BOLD:AAE2209,11.0425,-85.4034,ACGBA
449,BOLD:AAI7344,11.0456,-85.4574,ACGBA
450,BOLD:AEB6340,11.04562,-85.45742,ACGBA
451,BOLD:AAB8584,11.04788,-85.45266,ACGBA
452,BOLD:AAB4124,11.0479,-85.4527,ACGBA
453,BOLD:AAF8299,11.0501,-85.5866,ACGBA
454,BOLD:AAB8634,11.0506,-85.385,ASBR
455,BOLD:AAA1634,11.0626,-85.4149,ASMG
456,BOLD:AAX9678,11.0817,-85.394,ASMGJ
457,BOLD:AAA4794,NA,NA,ACGAZ
